Table Description,Table Name,Name,Name clean,Description,Description clean,'Type / Format',Last Updated,Last Updated date,File Name,Comments,Length,Values,Example
Amendments during Council Cycle for delegate agencies are listed here.,BU25T1_AMEND_DELG,AA_SEQ,AA_SEQ,foreign key to parent table bu25t1_amendments,foreign key to parent table bu25t1_amendments,NUMBER,2013-05-07 00:53:47,2013-05-07T00:53:47Z,AA_SEQ_15207,NULL,22.0,NULL,NULL
Current budget year amendment delegate history is stored here if we ever went past 3 rounds. See bu25t1_amend_delg for column descriptions.,BU25T1_AMEND_DELG_HISTORY,AA_SEQ,AA_SEQ,NULL,NULL,NUMBER,2013-05-07 00:53:47,2013-05-07T00:53:47Z,AA_SEQ_15244,NULL,22.0,NULL,NULL
Appropriation amounts at the account level during the budget budget process. Child of bu25t1_appr table.,BU25T1_APPR_AMTS,AA_SEQ,AA_SEQ,Generated Surrogate Key,Generated Surrogate Key,NUMBER,2013-05-07 00:53:47,2013-05-07T00:53:47Z,AA_SEQ_15363,NULL,22.0,NULL,NULL
programs for equipment note,BU25T1_EPROGRAMS,AA_SEQ,AA_SEQ,unique key,unique key,NUMBER,2013-05-07 00:53:49,2013-05-07T00:53:49Z,AA_SEQ_15764,NULL,22.0,NULL,NULL
program items for equipment note requests,BU25T1_EPROGRAM_ITEMS,AA_SEQ,AA_SEQ,foreign key to bu25t1_appr_amts,foreign key to bu25t1_appr_amts,NUMBER,2013-05-07 00:53:49,2013-05-07T00:53:49Z,AA_SEQ_15781,NULL,22.0,NULL,NULL
Equipment note subsystem account data with history. Child table of bu25t1_appr.,BU25T1_EQUIP_AMTS,AA_SEQ,AA_SEQ,unique key,unique key,NUMBER,2013-05-07 00:53:49,2013-05-07T00:53:49Z,AA_SEQ_15808,NULL,22.0,NULL,NULL
Dept programs,BU25T1_PROGRAMS,AA_SEQ,AA_SEQ,Generated Surrogate Key,Generated Surrogate Key,NUMBER,2013-05-07 00:53:50,2013-05-07T00:53:50Z,AA_SEQ_16212,NULL,22.0,NULL,NULL
Lowest level for budget accounts. Itemizing what is in nonpersonnel accounts,BU25T1_PROGRAM_ITEMS,AA_SEQ,AA_SEQ,foreign key to parent bu25t1_appr_amts,foreign key to parent bu25t1_appr_amts,NUMBER,2013-05-07 00:53:51,2013-05-07T00:53:51Z,AA_SEQ_16246,NULL,22.0,NULL,NULL
revenue collections provided by Dept of Finance revenue collections. Child table of bu25t1_revenue_appr,BU25T1_REVENUE_AMTS,AA_SEQ,AA_SEQ,primary key,primary key,NUMBER,2013-05-07 00:53:51,2013-05-07T00:53:51Z,AA_SEQ_16293,NULL,22.0,NULL,NULL
specific revenue sources that have been collected by Dept of Finance - revenue section,BU25T1_RPROGRAMS,AA_SEQ,AA_SEQ,foreign key to bu25t1_revenue_amounts,foreign key to bu25t1_revenue_amounts,NUMBER,2013-05-07 00:53:51,2013-05-07T00:53:51Z,AA_SEQ_16344,NULL,22.0,NULL,NULL
Revenue collection from Dept of Finance - Revenue section. Itemized data.,BU25T1_RPROGRAM_ITEMS,AA_SEQ,AA_SEQ,foreign key to bu25t1_revenue_amts,foreign key to bu25t1_revenue_amts,NUMBER,2013-05-07 00:53:51,2013-05-07T00:53:51Z,AA_SEQ_16363,NULL,22.0,NULL,NULL
Table contains no data,BU50T1_CPR_ENOTE,AA_SEQ,AA_SEQ,Compound primary key along with YEAR,Compound primary key along with YEAR,NUMBER,2013-05-07 00:54:45,2013-05-07T00:54:45Z,AA_SEQ_17726,NULL,22.0,NULL,NULL
Table contains no data.,BU50T1_PRJ_FND_STRPS_ORIG_LOAD,AA_SEQ,AA_SEQ,Foreign key to BU50T1_CPR_ENOTE,Foreign key to BU50T1_CPR_ENOTE,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,AA_SEQ_18139,NULL,22.0,NULL,NULL
All FMPS funding strips associated to a CPM project.,BU50T1_PROJ_FUNDING_STRIPS_JN,AA_SEQ,AA_SEQ,Foreign key to BU50T1_CPR_ENOTE,Foreign key to BU50T1_CPR_ENOTE,NUMBER,2013-05-07 00:54:49,2013-05-07T00:54:49Z,AA_SEQ_18550,NULL,22.0,NULL,NULL
List of City departments managing CDGA programs,DEPARTMENT,ABBREVIATION,ABBREVIATION,dept abbreviation,dept abbreviation,VARCHAR2,2013-05-07 00:54:17,2013-05-07T00:54:17Z,ABBREVIATION_16841,NULL,10.0,NULL,NULL
CDGA applications,APPLICATION,ABUSED_CHILDREN,ABUSED_CHILDREN,Limited Clientele Activities for 1 - yes,Limited Clientele Activities for 1 - yes,NUMBER,2013-05-07 00:54:16,2013-05-07T00:54:16Z,ABUSED_CHILDREN_16717,NULL,22.0,1=Yes,NULL
List of general revenue categories and groupings,BU25T1_REV_ORGS,ACCOUNT,ACCOUNT,always Y,always Y,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ACCOUNT_16338,NULL,1.0,N,NULL
List of account groupings,BUDGET_TYPE_CODE,ACCOUNT_NUMBER,ACCOUNT_NUMBER,Major account codes,Major account codes,VARCHAR2,2013-05-07 00:54:17,2013-05-07T00:54:17Z,ACCOUNT_NUMBER_16804,NULL,4.0,NULL,NULL
Used at the end of the year for FMPS system to designate which accounts will not be restricted to quarterly allotments and or have percentage of appropriation held in reserve.,BU25T1_ALLOT_ACCT_EXCPT,ACCT,ACCT,4 digit account number,4 digit account number,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,ACCT_15138,NULL,6.0,NULL,NULL
Used for displaying longer account descriptions as used in Finance General,BU25T1_AMEND_DESC,ACCT,ACCT,4 digit account number,4 digit account number,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,ACCT_15276,NULL,4.0,NULL,NULL
Expenditure data from City Comptrollers FMPS system,BU25T1_FMPS_IMPORT,ACCT,ACCT,4 digit account number,4 digit account number,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,ACCT_15942,NULL,6.0,NULL,NULL
Expenditure raw data from City Comptrollers FMPS system,BU25T1_FMPS_IMPORT_DETAIL,ACCT,ACCT,4 digit account number,4 digit account number,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,ACCT_15954,NULL,6.0,NULL,NULL
Historical position counts and appropiation amounts by dept /fund/org and program,BU25T1_HIST_PERS,ACCT,ACCT,title code or account number,title code or account number,VARCHAR2,2013-05-07 00:53:50,2013-05-07T00:53:50Z,ACCT_16059,NULL,6.0,NULL,NULL
Table contains no data,BU50T1_CPR_ENOTE,ACCT,ACCT,NULL,NULL,VARCHAR2,2013-05-07 00:54:45,2013-05-07T00:54:45Z,ACCT_17732,NULL,4.0,NULL,NULL
Contains all the funding accounts as listed in the legacy CIP system.  This table is no longer used.,BU50T1_FUNDING_ACCTS,ACCT,ACCT,NULL,NULL,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,ACCT_17965,NULL,4.0,NULL,NULL
List of bargaining units for City of Chicago employees,BU25T1_BARG_UNIT,ACCT_0030_PCT,ACCT_0030_PCT,Less Reduction from Unpaid Time Calculation,Less Reduction from Unpaid Time Calculation,NUMBER,2013-05-07 00:53:47,2013-05-07T00:53:47Z,ACCT_0030_PCT_15393,NULL,22.0,0,NULL
A library listing City department,BU25T1_CODE_OBJECTS,ACCT_CATG,ACCT_CATG,category for account number used by Budget Book Summary D,category for account number used by Budget Book Summary D,VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,ACCT_CATG_15508,NULL,1.0,NULL,NULL
A library listing City department,BU25T1_CODE_OBJECTS,ACCT_CMMDTY,ACCT_CMMDTY,Y has commodity or N does not,Y has commodity or N does not,VARCHAR2,2013-05-07 00:53:48,2013-05-07T00:53:48Z,ACCT_CMMDTY_15500,NULL,1.0,N,NULL
Contains references that are used by the budget system (CBS) for processing and application use.,BU26T1_CODE_OBJECTS,ACCT_CMMDTY,ACCT_CMMDTY,"Y has commodity or N does not""","Y has commodity or N does not""",VARCHAR2,2013-05-07 00:53:52,2013-05-07T00:53:52Z,ACCT_CMMDTY_16558,NULL,1.0,NULL,NULL
Monthly revenue collection data provided to OBM from Dept of Finance Revenue Section,BU25T1_REVENUE_HOLD,ACCT_DESC,ACCT_DESC,4 digit account number,4 digit account number,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ACCT_DESC_16319,NULL,100.0,NULL,NULL
Appropriation amounts at the account level during the budget budget process. Child of bu25t1_appr table.,BU25T1_APPR_AMTS,ACCT_NO,ACCT_NO,4 digit account number,4 digit account number,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,ACCT_NO_15365,NULL,6.0,NULL,NULL
Equipment note subsystem account data with history. Child table of bu25t1_appr.,BU25T1_EQUIP_AMTS,ACCT_NO,ACCT_NO,account number,account number,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,ACCT_NO_15810,NULL,6.0,NULL,NULL
Historical data for dept/fund/org/account appropriations since 1989,BU25T1_HISTORY_ACCTS,ACCT_NO,ACCT_NO,4 digit account number,4 digit account number,VARCHAR2,2013-05-07 00:53:50,2013-05-07T00:53:50Z,ACCT_NO_15967,NULL,4.0,NULL,NULL
revenue collections provided by Dept of Finance revenue collections. Child table of bu25t1_revenue_appr,BU25T1_REVENUE_AMTS,ACCT_NO,ACCT_NO,4 digit account number,4 digit account number,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ACCT_NO_16294,NULL,6.0,NULL,NULL
Monthly revenue collection data provided to OBM from Dept of Finance Revenue Section,BU25T1_REVENUE_HOLD,ACCT_NO,ACCT_NO,4 digit account number,4 digit account number,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ACCT_NO_16318,NULL,100.0,NULL,NULL
Stores payroll information containing what FMPS has paid out.,BU26T1_PAYROLL_FMPS_DETAIL,ACCT_NO,ACCT_NO,FMPS account number,FMPS account number,VARCHAR2,2013-05-07 00:53:52,2013-05-07T00:53:52Z,ACCT_NO_16621,NULL,4.0,NULL,NULL
Stores the preliminary yearly budget at the start of the budget cycle.,BU26T1_PRELIM,ACCT_NO,ACCT_NO,Compound foreign key to BU26T1_CODE_OBJECTS,Compound foreign key to BU26T1_CODE_OBJECTS,VARCHAR2,2013-05-07 00:53:52,2013-05-07T00:53:52Z,ACCT_NO_16639,NULL,6.0,NULL,NULL
Used at the end of the year for FMPS system to designate which accounts will not be restricted to quarterly allotments and or have percentage of appropriation held in reserve.,BU25T1_ALLOT_ACCT_EXCPT,ACCT_REF_CODE,ACCT_REF_CODE,compound foreign key with acct_no to bu25t1_code_objects tables,compound foreign key with acct_no to bu25t1_code_objects tables,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,ACCT_REF_CODE_15137,NULL,2.0,B,NULL
